StepId,RecipeId,StepNumber,StepText
102,25,2,"Nước sôi cho rau vào, nêm 1mcf muối và ít hạt nêm"
103,25,3,"Rau chín múc ra tô, thêm ít tiêu xay"
104,26,1,"Hành khô bóc vỏ, băm nhỏ. Đậu cô ve, bắp sú rửa sạch, cắt miếng vừa ăn. Cà chua thái múi cau."
105,26,2,"Phi thơm hành với dầu ăn, cho cà chua vào xào mềm."
106,26,3,Thêm bắp sú vào xào cùng cà chua khoảng 2 phút.
107,26,4,"Cho đậu cô ve vào, đảo đều, nêm muối, nước mắm, hạt nêm."
108,26,5,"Khi rau gần chín, cho thịt bò vào xào nhanh tay đến khi thịt vừa chín tới."
109,26,6,"Tắt bếp, dọn ra đĩa và thưởng thức."
110,27,1,"Gà tre làm sạch, để ráo nước."
111,27,2,"Sả đập dập, cắt khúc; ớt bẻ đôi,hành tây cắt múi cau."
112,27,3,"Trộn nước mắm, đường, tương ớt, dầu ăn, dầu hào,hành tỏi giả nhuyễn,1 muỗng cà phê ớt bột thành hỗn hợp ướp."
113,27,4,"Ướp gà với hỗn hợp trên, để thấm 30 phút."
114,27,5,"Lót sả, gừng, hành tây dưới đáy nồi, đặt gà lên trên."
115,27,6,Hấp gà khoảng 30 phút đến khi chín mềm.
116,27,7,Gà đang nóng thì mình sẽ mang găng tay rồi xé gà và chấm với muối ớt xanh.
117,28,1,Rửa sạch tôm. Để ráo nước.
118,28,2,"Luộc tôm với 1 mcf muối (nếu thích). Tôm nhanh chín lắm nên đừng luộc lâu, luộc cỡ 5 phút là được rồi."
119,28,3,Để nguội rồi bóc nõn tôm.
120,28,4,"Cho nõn tôm luộc vào NCKD. Sấy lần 1 (120 độ, 10 phút); sấy lần 2 (100 độ, 10 phút). Sấy tiếp lần 3,4,5,6 (70 độ, 15 phút). Giữa các lần sấy thì mở NCKD ra để kiểm tra và đảo tôm."
121,28,5,"Kiểm tra lần nữa độ khô dẻo của tôm đạt theo ý muốn chưa. Nêú muốn tôm khô thêm thì tiếp tục sấy thêm, mỗi lần chỉ set 10 phút, 70 độ cho đến khi như ý. Lưu ý khi tôm nguội và cất vào tủ mát, tôm sẽ khô thêm, vì thế không nên sấy nhiều, tôm khô quá mất ngon."
122,28,6,"Nếu để lâu thì trữ ngăn đông, ăn liền trong 2 tuần trở lại thì để ngăn mát."
123,29,1,"Măng tươi lột vỏ, bỏ phần già, thái mỏng. Luộc 2 lần nước với muối, mỗi lần 7-10 phút từ lúc sôi, xả lại nước."
124,29,2,"Củ ngưu bàng cạo sơ vỏ, cắt khúc vừa ăn."
125,29,3,"Nấm rơm tươi rửa sạch, có thể chiên sơ, phơi nắng hoặc sấy khô nhẹ. Nếu dùng nấm khô, rửa sạch."
126,29,4,"Cho nấm và ngưu bàng vào nồi nước, nấu 15 phút."
127,29,5,"Măng xào với hạt nêm 5-7 phút cho thấm, sau đó cho vào nồi nước dùng, hầm tiếp 15-30 phút cho măng mềm."
128,29,6,"Nêm lại vừa ăn, cho rau mùi ta vào rồi tắt bếp."
129,30,1,Bí gọt vỏ băm và thái mỏng. Tới phần ruột mình sẽ bỏ đi.
130,30,2,"Lọc cua lấy 1 tô nước. Phi thơm hành tím xào gạch nếu có, đổ nước lọc cua vào nấu sôi. Thêm bí nấu 3 phút bí mềm."
131,30,3,Nêm lại vừa ăn. Thêm hành lá cắt nhỏ.
132,31,1,"Cá cờ lườn đã cắt khúc, ướp với nước mắm, đường, nước màu, tiêu xanh đập dập trong 15 phút."
133,31,2,Phi thơm hành tím và tỏi băm với dầu ăn.
134,31,3,"Cho cá đã ướp vào nồi, đảo nhẹ cho săn lại."
135,31,4,"Thêm ớt, kho lửa nhỏ đến khi cá thấm gia vị và nước sệt lại."
136,31,5,"Tắt bếp, để cá nghỉ 30 phút cho thấm đều."
137,31,6,"Bật bếp kho lại lần nữa cho đến khi nước cạn sệt, cá đậm vị."
138,32,1,"Sơ chế mực (lột vỏ, bỏ túi mực). Rửa sạch, xắt khoanh vừa ăn."
139,32,2,Sơ chế rau củ quả. Xắt khúc vừa ăn
140,32,3,"Phi thơm hành. Cho mực vào xào lửa to, cho xíu mắm, hạt nêm. Gần chín thì trút ra dĩa để riêng."
