RecipeId,IngredientId,Quantity,IngredientName,tokens,IngredientClean,IngredientProcessed
15,64,1 bó,rau cải xanh,"['rau', 'cải xanh']",rau cải xanh,rau_cải_xanh
15,65,150 gr,tôm,['tôm'],tôm,tôm
15,66,,hành tím,"['hành', 'tím']",hành tím,hành_tím
15,67,,muối,['muối'],muối,muối
15,68,,bột ngọt,"['bột', 'ngọt']",bột ngọt,bột_ngọt
16,69,200 g,thịt bò,"['thịt', 'bò']",thịt bò,thịt_bò
16,70,1 củ,su hào,"['su', 'hào']",su hào,su_hào
16,71,1/2 củ,cà rốt,"['cà', 'rốt']",cà rốt,cà_rốt
16,72,5 g,nấm mèo,"['nấm', 'mèo']",nấm mèo,nấm_mèo
16,73,2 nhánh,hành lá,"['hành', 'lá']",hành lá,hành_lá
16,74,1 thìa cà phê,bột bắp,"['bột', 'bắp']",bột bắp,bột_bắp
16,75,3 tép,tỏi,['tỏi'],tỏi,tỏi
16,76,1 thìa canh,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
16,77,1 thìa canh,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
16,78,1 thìa canh,dầu hào,"['dầu', 'hào']",dầu hào,dầu_hào
16,79,1/4 thìa cà phê,tiêu,['tiêu'],tiêu,tiêu
17,80,3 con,cá nục,"['cá', 'nục']",cá nục,cá_nục
17,81,,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
19,86,500 gr,ức gà,"['ức', 'gà']",ức gà,ức_gà
19,87,4 tai,nấm hương,"['nấm', 'hương']",nấm hương,nấm_hương
19,88,30 gr,đậu hũ,"['đậu', 'hũ']",đậu hũ,đậu_hũ
19,89,100 gr,bắp,['bắp'],bắp,bắp
19,90,100 gr,đậu hà lan,"['đậu', 'hà lan']",đậu hà lan,đậu_hà_lan
19,91,100 gr,cà rốt,"['cà', 'rốt']",cà rốt,cà_rốt
19,92,1 tbsp,hành lá,"['hành', 'lá']",hành lá,hành_lá
19,93,2 muỗng,xì dầu,"['xì', 'dầu']",xì dầu,xì_dầu
19,94,1 muỗng,rượu nấu ăn,"['rượu', 'nấu ăn']",rượu nấu ăn,rượu_nấu_ăn
19,95,1/2 muỗng,xì dầu,"['xì', 'dầu']",xì dầu,xì_dầu
19,96,1/2 muỗng,tiêu,['tiêu'],tiêu,tiêu
19,97,2 muỗng,bột bắp,"['bột', 'bắp']",bột bắp,bột_bắp
19,98,1 ít,muối,['muối'],muối,muối
19,99,1 muỗng,dầu hào,"['dầu', 'hào']",dầu hào,dầu_hào
19,100,1 ít,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
20,101,700-800 gr,sườn heo,"['sườn', 'heo']",sườn heo,sườn_heo
20,102,2 thìa ăn phở,bột bắp,"['bột', 'bắp']",bột bắp,bột_bắp
20,103,1 thìa ăn phở,tinh bột ngô,"['tinh bột', 'ngô']",tinh bột ngô,tinh_bột_ngô
20,104,1/2 thìa ăn phở,hạt nêm,"['hạt', 'nêm']",hạt nêm,hạt_nêm
20,105,1/2 thìa ăn phở,rượu nấu ăn,"['rượu', 'nấu ăn']",rượu nấu ăn,rượu_nấu_ăn
20,106,1 quả,trứng gà,"['trứng', 'gà']",trứng gà,trứng_gà
20,107,Xíu,tiêu,['tiêu'],tiêu,tiêu
20,108,1 tcf,bột baking soda,"['bột', 'baking', 'soda']",bột baking soda,bột_baking_soda
20,109,1 thìa ăn phở,xì dầu,"['xì', 'dầu']",xì dầu,xì_dầu
20,110,1 thìa ăn phở,dầu hào,"['dầu', 'hào']",dầu hào,dầu_hào
20,111,1/2 tcf,đường,['đường'],đường,đường
20,112,1/2 củ,hành tây,['hành tây'],hành tây,hành_tây
20,113,1 củ,tỏi,['tỏi'],tỏi,tỏi
20,114,1/2 củ,khoai lang,['khoai lang'],khoai lang,khoai_lang
21,115,500 g,củ cải,['cải'],cải,cải
21,116,3 quả,trứng gà,"['trứng', 'gà']",trứng gà,trứng_gà
21,117,,hành lá,"['hành', 'lá']",hành lá,hành_lá
21,118,,hành củ,['hành'],hành,hành
21,119,,rau mùi,"['rau', 'mùi']",rau mùi,rau_mùi
21,120,,tiêu,['tiêu'],tiêu,tiêu
21,121,,gia vị,['gia vị'],gia vị,gia_vị
22,122,50 g,bột gạo,"['bột', 'gạo']",bột gạo,bột_gạo
22,123,25 g,bột mì,"['bột', 'mì']",bột mì,bột_mì
22,124,25 g,bột năng,"['bột', 'năng']",bột năng,bột_năng
22,125,50 g,đậu xanh,"['đậu', 'xanh']",đậu xanh,đậu_xanh
22,126,1 miếng,thịt ba chỉ,"['thịt', 'ba', 'chỉ']",thịt ba chỉ,thịt_ba_chỉ
22,127,2 tép,tỏi,['tỏi'],tỏi,tỏi
22,128,3 mc,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
22,129,1/2 mcf,bột ngọt,"['bột', 'ngọt']",bột ngọt,bột_ngọt
22,130,1 mc,đường,['đường'],đường,đường
23,131,300 gr,bò,['bò'],bò,bò
23,132,1 trái,táo,['táo'],táo,táo
23,133,1/4 củ,hành tây,['hành tây'],hành tây,hành_tây
23,134,4 cái,nấm hương,"['nấm', 'hương']",nấm hương,nấm_hương
23,135,1 mc,xì dầu,"['xì', 'dầu']",xì dầu,xì_dầu
23,136,1/2 mcf,đường,['đường'],đường,đường
23,137,2 vắt,hủ tiếu,"['hủ', 'tiếu']",hủ tiếu,hủ_tiếu
23,138,,giá,['giá'],giá,giá
23,139,,tỏi,['tỏi'],tỏi,tỏi
23,140,,muối,['muối'],muối,muối
23,141,,bột ngọt,"['bột', 'ngọt']",bột ngọt,bột_ngọt
24,142,100 g,bóng cá chay,"['bóng', 'cá', 'chay']",bóng cá chay,bóng_cá_chay
24,143,2 muỗng canh,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
24,144,1 muỗng canh,đường,['đường'],đường,đường
24,145,2 muỗng canh,nươ c lọc,"['nươ', 'c', 'lọc']",nươ c lọc,nươ_c_lọc
24,146,20 g,mè rang,"['mè', 'rang']",mè rang,mè_rang
24,147,,chanh,['chanh'],chanh,chanh
24,148,,ớt,['ớt'],ớt,ớt
