StepImageId,StepId,ImageUrl
64,49,https://img-global.cpcdn.com/steps/8ca9ba853bb8e9df/160x128cq80/b%E1%BA%AFp-m%E1%BB%B9-chien-tr%E1%BB%A9ng-recipe-step-1-photo.jpg
65,50,https://img-global.cpcdn.com/steps/3a948cc106c2fc96/160x128cq80/b%E1%BA%AFp-m%E1%BB%B9-chien-tr%E1%BB%A9ng-recipe-step-2-photo.jpg
66,50,https://img-global.cpcdn.com/steps/00ba058330f4543a/160x128cq80/b%E1%BA%AFp-m%E1%BB%B9-chien-tr%E1%BB%A9ng-recipe-step-2-photo.jpg
67,50,https://img-global.cpcdn.com/steps/e81c7f61ba575ef8/160x128cq80/b%E1%BA%AFp-m%E1%BB%B9-chien-tr%E1%BB%A9ng-recipe-step-2-photo.jpg
68,51,https://img-global.cpcdn.com/steps/6e73a262f67eeae0/160x128cq80/b%E1%BA%AFp-m%E1%BB%B9-chien-tr%E1%BB%A9ng-recipe-step-3-photo.jpg
69,52,https://img-global.cpcdn.com/steps/da4ee7d06a2d74f2/160x128cq80/canh-chua-ca-b%E1%BB%9Bp-recipe-step-1-photo.jpg
70,53,https://img-global.cpcdn.com/steps/4b6c5ae9b0f7bc01/160x128cq80/canh-chua-ca-b%E1%BB%9Bp-recipe-step-2-photo.jpg
71,53,https://img-global.cpcdn.com/steps/5a579fd8cc4799da/160x128cq80/canh-chua-ca-b%E1%BB%9Bp-recipe-step-2-photo.jpg
72,54,https://img-global.cpcdn.com/steps/63f3a25c773f9517/160x128cq80/canh-chua-ca-b%E1%BB%9Bp-recipe-step-3-photo.jpg
73,54,https://img-global.cpcdn.com/steps/4953820442a2a8da/160x128cq80/canh-chua-ca-b%E1%BB%9Bp-recipe-step-3-photo.jpg
74,54,https://img-global.cpcdn.com/steps/4755563e1f63e1f4/160x128cq80/canh-chua-ca-b%E1%BB%9Bp-recipe-step-3-photo.jpg
75,55,https://img-global.cpcdn.com/steps/b73518e11ea845b0/160x128cq80/canh-chua-ca-b%E1%BB%9Bp-recipe-step-4-photo.jpg
76,57,https://img-global.cpcdn.com/steps/fef0e79cb3118a46/160x128cq80/canh-c%E1%BA%A3i-xanh-n%E1%BA%A5u-tom-recipe-step-2-photo.jpg
77,57,https://img-global.cpcdn.com/steps/e398fc4bdbb5acf8/160x128cq80/canh-c%E1%BA%A3i-xanh-n%E1%BA%A5u-tom-recipe-step-2-photo.jpg
78,58,https://img-global.cpcdn.com/steps/9d1b3a0e2c9b8098/160x128cq80/canh-c%E1%BA%A3i-xanh-n%E1%BA%A5u-tom-recipe-step-3-photo.jpg
79,58,https://img-global.cpcdn.com/steps/45445ff669ff0611/160x128cq80/canh-c%E1%BA%A3i-xanh-n%E1%BA%A5u-tom-recipe-step-3-photo.jpg
80,59,https://img-global.cpcdn.com/steps/f397fb438c80a1e2/160x128cq80/th%E1%BB%8Bt-bo-xao-su-hao-recipe-step-1-photo.jpg
